rs,train_acc,val_acc,test_acc,best_probe,config,layer
0,0.521428571,0.5,0.4,LogReg,Full,0
0,0.521428571,0.433333333,0.466666667,LogReg,Nonzero,0
0,0.485714286,0.566666667,0.5,MLP-10,ZeroMI,0
1,0.55,0.5,0.266666667,LogReg,Full,0
1,0.492857143,0.533333333,0.5,MLP-10,Nonzero,0
1,0.514285714,0.466666667,0.466666667,LogReg,ZeroMI,0
2,0.492857143,0.533333333,0.5,MLP-20,Full,0
2,0.514285714,0.5,0.433333333,LogReg,Nonzero,0
2,0.507142857,0.5,0.466666667,LogReg,ZeroMI,0
31,0.507142857,0.533333333,0.433333333,LogReg,Full,0
31,0.528571429,0.5,0.366666667,LogReg,Nonzero,0
31,0.535714286,0.366666667,0.466666667,LogReg,ZeroMI,0
32767,0.492857143,0.533333333,0.5,MLP-10,Full,0
32767,0.507142857,0.533333333,0.433333333,LogReg,Nonzero,0
32767,0.492857143,0.533333333,0.5,MLP-20,ZeroMI,0
0,0.778571429,0.633333333,0.533333333,MLP-10,Full,1
0,0.792857143,0.733333333,0.733333333,MLP-20,Nonzero,1
0,0.728571429,0.7,0.733333333,MLP-10,ZeroMI,1
1,0.842857143,0.833333333,0.666666667,MLP-20,Full,1
1,0.814285714,0.566666667,0.7,MLP-20,Nonzero,1
1,0.792857143,0.7,0.5,MLP-20,ZeroMI,1
2,0.871428571,0.633333333,0.733333333,MLP-10,Full,1
2,0.8,0.7,0.7,MLP-10,Nonzero,1
2,0.621428571,0.533333333,0.366666667,LogReg,ZeroMI,1
31,0.821428571,0.9,0.833333333,MLP-10,Full,1
31,0.871428571,0.733333333,0.766666667,MLP-20,Nonzero,1
31,0.757142857,0.8,0.8,LogReg,ZeroMI,1
32767,0.771428571,0.6,0.633333333,LogReg,Full,1
32767,0.521428571,0.633333333,0.533333333,MLP-20,Nonzero,1
32767,0.821428571,0.566666667,0.666666667,MLP-20,ZeroMI,1
0,0.714285714,0.733333333,0.566666667,LogReg,Full,2
0,0.707142857,0.8,0.7,MLP-10,Nonzero,2
0,0.692857143,0.7,0.7,MLP-20,ZeroMI,2
1,0.728571429,0.7,0.7,MLP-20,Full,2
1,0.757142857,0.533333333,0.7,MLP-10,Nonzero,2
1,0.542857143,0.333333333,0.466666667,LogReg,ZeroMI,2
2,0.735714286,0.766666667,0.566666667,MLP-10,Full,2
2,0.75,0.6,0.566666667,MLP-20,Nonzero,2
2,0.764285714,0.533333333,0.566666667,MLP-20,ZeroMI,2
31,0.685714286,0.7,0.633333333,LogReg,Full,2
31,0.778571429,0.766666667,0.533333333,MLP-10,Nonzero,2
31,0.55,0.433333333,0.333333333,LogReg,ZeroMI,2
32767,0.771428571,0.666666667,0.6,MLP-20,Full,2
32767,0.678571429,0.633333333,0.6,MLP-10,Nonzero,2
32767,0.671428571,0.6,0.666666667,MLP-10,ZeroMI,2
0,0.678571429,0.733333333,0.6,LogReg,Full,3
