task,LM,init_lr,slurm_id,dev_acc
rte,embeddings_roberta_base,1.00E-05,5236891,0.7726
rte,embeddings_roberta_base_corr_500,1.00E-05,5215525,0.7148
rte,embeddings_roberta_base_corr_1000,1.00E-05,5258357,0.704
rte,embeddings_roberta_base_corr_2000,1.00E-05,5258397,0.6859
rte,embeddings_roberta_base_corr_4000,1.00E-05,5258437,0.5848
rte,embeddings_roberta_base_corr_6000,1.00E-05,5258477,0.6679
rte,embeddings_xlm_roberta_base,1.00E-05,5336323,0.6534
rte,embeddings_xlm_roberta_base_corr_500,1.00E-05,5367075,0.5993
rte,embeddings_xlm_roberta_base_corr_1000,1.00E-05,5367161,0.5776
rte,embeddings_xlm_roberta_base_corr_2000,1.00E-05,5367197,0.5884
rte,embeddings_xlm_roberta_base_corr_4000,3.00E-05,5367237,0.6282
rte,embeddings_xlm_roberta_base_corr_6000,3.00E-05,5367303,0.5596
rte,embeddings_albert_base_v2,1.00E-05,5336597,0.769
rte,embeddings_albert_base_v2_corr_500,3.00E-06,5566722,0.6173
rte,embeddings_albert_base_v2_corr_1000,3.00E-06,5369699,0.5668
rte,embeddings_albert_base_v2_corr_2000,1.00E-05,5567181,0.639
rte,embeddings_albert_base_v2_corr_4000,1.00E-05,5369791,0.6029
rte,embeddings_albert_base_v2_corr_6000,1.00E-05,5369860,0.6029
rte,embeddings_microsoft_deberta_base,1.00E-05,5507485,0.6643
rte,embeddings_microsoft_deberta_base_corr_500,1.00E-05,5700658,0.6787
rte,embeddings_microsoft_deberta_base_corr_1000,3.00E-05,5700671,0.574
rte,embeddings_microsoft_deberta_base_corr_2000,1.00E-05,5700678,0.6823
rte,embeddings_microsoft_deberta_base_corr_4000,1.00E-05,5700684,0.5668
rte,embeddings_microsoft_deberta_base_corr_6000,3.00E-05,5700690,0.6209
rte,embeddings_xlnet_base_cased,1.00E-05,5508415,0.7545
cola,embeddings_roberta_base,1.00E-05,5241265,0.8437
cola,embeddings_roberta_base_corr_500,1.00E-05,5245534,0.8322
cola,embeddings_roberta_base_corr_1000,1.00E-05,5258365,0.838
cola,embeddings_roberta_base_corr_2000,1.00E-05,5258405,0.8341
cola,embeddings_roberta_base_corr_4000,1.00E-05,5258445,0.8399
cola,embeddings_roberta_base_corr_6000,1.00E-05,5258485,0.8293
cola,embeddings_xlm_roberta_base,3.00E-06,5336329,0.7833
cola,embeddings_xlm_roberta_base_corr_500,1.00E+05,5367081,0.7881
cola,embeddings_xlm_roberta_base_corr_1000,1.00E-05,5367167,0.7939
cola,embeddings_xlm_roberta_base_corr_2000,1.00E-05,5367203,0.7919
cola,embeddings_xlm_roberta_base_corr_4000,1.00E-05,5367244,0.7929
cola,embeddings_xlm_roberta_base_corr_6000,1.00E-05,5367310,0.7804
cola,embeddings_albert_base_v2,3.00E-06,5336603,0.8111
cola,embeddings_albert_base_v2_corr_500,1.00E-05,5369655,0.8102
cola,embeddings_albert_base_v2_corr_1000,1.00E-05,5568014,0.8169
cola,embeddings_albert_base_v2_corr_2000,1.00E-05,5568299,0.7967
cola,embeddings_albert_base_v2_corr_4000,1.00E-05,5369792,0.7996
cola,embeddings_albert_base_v2_corr_6000,1.00E-05,5369891,0.8025
cola,embeddings_microsoft_deberta_base,1.00E-05,5507491,0.8533
cola,embeddings_microsoft_deberta_base_corr_500,1.00E-05,5700697,0.8428
cola,embeddings_microsoft_deberta_base_corr_1000,1.00E-05,5700703,0.8504
cola,embeddings_microsoft_deberta_base_corr_2000,1.00E-05,5700709,0.8408
cola,embeddings_microsoft_deberta_base_corr_4000,1.00E-05,5700715,0.8293
cola,embeddings_microsoft_deberta_base_corr_6000,1.00E-05,5700721,0.8341
cola,embeddings_xlnet_base_cased,3.00E-05,5508420,0.8035
qnli,embeddings_roberta_base,3.00E-06,5241275,0.9251
qnli,embeddings_roberta_base_corr_500,3.00E-06,5245559,0.9213
qnli,embeddings_roberta_base_corr_1000,1.00E-05,5258349,0.9213
qnli,embeddings_roberta_base_corr_2000,1.00E-05,5258389,0.9185
qnli,embeddings_roberta_base_corr_4000,1.00E-05,5258429,0.9209
qnli,embeddings_roberta_base_corr_6000,1.00E-05,5258469,0.9229
qnli,embeddings_xlm_roberta_base,1.00E-05,5336343,0.9068
qnli,embeddings_xlm_roberta_base_corr_500,1.00E-05,5564892,0.8997
qnli,embeddings_xlm_roberta_base_corr_1000,1.00E-05,5564901,0.9023
qnli,embeddings_xlm_roberta_base_corr_2000,1.00E-05,5564912,0.8964
qnli,embeddings_xlm_roberta_base_corr_4000,1.00E-05,5564921,0.8988
qnli,embeddings_xlm_roberta_base_corr_6000,1.00E-05,5564927,0.8951
qnli,embeddings_albert_base_v2,1.00E-05,5336617,0.9163
qnli,embeddings_albert_base_v2_corr_500,3.00E-06,5369664,0.9101
qnli,embeddings_albert_base_v2_corr_1000,1.00E-05,5369697,0.9114
qnli,embeddings_albert_base_v2_corr_2000,1.00E-05,5568649,0.907
qnli,embeddings_albert_base_v2_corr_4000,1.00E-05,5369795,0.9085
qnli,embeddings_albert_base_v2_corr_6000,1.00E-05,5568650,0.9065
qnli,embeddings_microsoft_deberta_base,3.00E-06,5507510,0.9323
qnli,embeddings_microsoft_deberta_base_corr_500,3.00E-06,5700808,0.9257
qnli,embeddings_microsoft_deberta_base_corr_1000,1.00E-05,5700813,0.9259
qnli,embeddings_microsoft_deberta_base_corr_2000,3.00E-06,5700820,0.9224
qnli,embeddings_microsoft_deberta_base_corr_4000,3.00E-06,5700826,0.922
qnli,embeddings_microsoft_deberta_base_corr_6000,3.00E-06,5700833,0.9228
qnli,embeddings_xlnet_base_cased,1.00E-05,5508439,0.9158
mrpc,embeddings_roberta_base,1.00E-05,5237101,0.8995
mrpc,embeddings_roberta_base_corr_500,1.00E-05,5237160,0.875
mrpc,embeddings_roberta_base_corr_1000,1.00E-05,5258333,0.8824
mrpc,embeddings_roberta_base_corr_2000,1.00E-05,5258373,0.8824
mrpc,embeddings_roberta_base_corr_4000,3.00E-05,5258412,0.8873
mrpc,embeddings_roberta_base_corr_6000,3.00E-06,5258454,0.8554
mrpc,embeddings_xlm_roberta_base,3.00E-06,5336339,0.8211
mrpc,embeddings_xlm_roberta_base_corr_500,1.00E-05,5565070,0.8897
mrpc,embeddings_xlm_roberta_base_corr_1000,1.00E-05,5565076,0.8284
mrpc,embeddings_xlm_roberta_base_corr_2000,3.00E-05,5565081,0.8088
mrpc,embeddings_xlm_roberta_base_corr_4000,1.00E-05,5367256,0.8456
mrpc,embeddings_xlm_roberta_base_corr_6000,1.00E-05,5367322,0.8015
mrpc,embeddings_albert_base_v2,1.00E-05,5336612,0.8775
mrpc,embeddings_albert_base_v2_corr_500,1.00E-05,5569035,0.848
mrpc,embeddings_albert_base_v2_corr_1000,3.00E-05,5369690,0.8284
mrpc,embeddings_albert_base_v2_corr_2000,1.00E-05,5569050,0.8113
mrpc,embeddings_albert_base_v2_corr_4000,3.00E-05,5569031,0.8113
mrpc,embeddings_albert_base_v2_corr_6000,1.00E-05,5369863,0.8088
mrpc,embeddings_microsoft_deberta_base,1.00E-05,5507503,0.8946
mrpc,embeddings_microsoft_deberta_base_corr_500,1.00E-05,5700771,0.8897
mrpc,embeddings_microsoft_deberta_base_corr_1000,3.00E-05,5700782,0.8456
mrpc,embeddings_microsoft_deberta_base_corr_2000,3.00E-05,5700788,0.8897
mrpc,embeddings_microsoft_deberta_base_corr_4000,3.00E-05,5700794,0.8603
mrpc,embeddings_microsoft_deberta_base_corr_6000,1.00E-05,5700801,0.8701
mrpc,embeddings_xlnet_base_cased,3.00E-05,5508432,0.8676
sst2,embeddings_roberta_base,1.00E-05,5237024,0.9438
sst2,embeddings_roberta_base_corr_500,1.00E-05,5245550,0.9415
sst2,embeddings_roberta_base_corr_1000,1.00E-05,5258341,0.9392
sst2,embeddings_roberta_base_corr_2000,3.00E-06,5258382,0.9415
sst2,embeddings_roberta_base_corr_4000,1.00E-05,5258421,0.945
